,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,SkillMoves,Work Rate,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,League,Speciality
6183,L. Valzania,22,Italy,69,78,Atalanta,€1.6M,€11K,Right,1.0,3.0,3.0,Medium/ Medium,CM,4.0,"Jul 1, 2015",Not on loan,2023,6'0,170lbs,49.0,56.0,46.0,70.0,38.0,70.0,52.0,48.0,68.0,70.0,75.0,69.0,59.0,66.0,63.0,63.0,60.0,73.0,61.0,67.0,55.0,63.0,66.0,66.0,45.0,62.0,61.0,59.0,51.0,6.0,5.0,8.0,9.0,7.0,€3M,SERIE A TIM,No Speciality
6184,J. George,25,Germany,69,70,SSV Jahn Regensburg,€1.2M,€6K,Right,1.0,4.0,3.0,High/ Medium,LAM,9.0,"Jul 1, 2015",Not on loan,2020,5'9,165lbs,62.0,66.0,59.0,62.0,51.0,73.0,53.0,39.0,39.0,68.0,79.0,84.0,79.0,67.0,85.0,75.0,61.0,83.0,72.0,63.0,65.0,21.0,65.0,63.0,67.0,59.0,35.0,21.0,22.0,8.0,10.0,14.0,9.0,9.0,€2M,0,No Speciality
6185,G. Robail,24,France,69,73,Valenciennes FC,€1.4M,€25K,Right,1.0,3.0,3.0,High/ Medium,LM,9.0,N/A,Paris Saint-Germain,"Jun 30, 2019",6'0,161lbs,64.0,68.0,53.0,80.0,57.0,71.0,53.0,59.0,73.0,72.0,67.0,73.0,69.0,61.0,71.0,68.0,55.0,51.0,58.0,54.0,49.0,33.0,57.0,63.0,57.0,69.0,40.0,55.0,58.0,13.0,12.0,6.0,13.0,14.0,No Release Clause,DOMINO'S LIGUE 2,No Speciality
6186,B. Beckeles,32,Honduras,69,69,Club Necaxa,€575K,€6K,Right,1.0,3.0,2.0,Medium/ High,RB,2.0,"Aug 31, 2015",Not on loan,2023,6'0,185lbs,62.0,46.0,63.0,67.0,40.0,50.0,40.0,34.0,57.0,62.0,63.0,65.0,56.0,64.0,42.0,65.0,83.0,90.0,82.0,54.0,73.0,67.0,55.0,61.0,43.0,65.0,60.0,75.0,73.0,10.0,15.0,12.0,9.0,14.0,€978K,0,No Speciality
6187,R. Brežančić,28,Serbia,69,69,SD Huesca,€825K,€10K,Left,1.0,2.0,2.0,High/ Medium,LB,20.0,"Aug 29, 2016",Not on loan,2019,5'9,157lbs,64.0,28.0,57.0,66.0,38.0,59.0,55.0,30.0,59.0,62.0,73.0,77.0,58.0,65.0,72.0,71.0,68.0,82.0,71.0,51.0,72.0,58.0,59.0,44.0,43.0,62.0,63.0,70.0,73.0,10.0,6.0,9.0,15.0,12.0,€1.8M,LALIGA SANTANDER,No Speciality
6188,D. Camara,23,Guinea,69,74,ESTAC Troyes,€1.4M,€5K,Right,1.0,2.0,3.0,Medium/ Medium,ST,9.0,"Sep 6, 2018",Not on loan,2020,6'1,181lbs,42.0,69.0,65.0,66.0,56.0,71.0,56.0,44.0,53.0,70.0,77.0,78.0,72.0,61.0,74.0,67.0,70.0,71.0,73.0,59.0,41.0,46.0,69.0,53.0,70.0,56.0,31.0,29.0,28.0,14.0,14.0,12.0,14.0,9.0,€2.7M,DOMINO'S LIGUE 2,No Speciality
6189,O. Barreto,25,Colombia,69,70,Millonarios FC,€1.2M,€2K,Right,1.0,3.0,4.0,Medium/ Low,RM,21.0,"Dec 19, 2016",Not on loan,2020,5'8,150lbs,66.0,61.0,55.0,65.0,52.0,71.0,45.0,40.0,62.0,69.0,72.0,80.0,85.0,67.0,77.0,69.0,82.0,66.0,43.0,66.0,37.0,18.0,66.0,65.0,59.0,65.0,54.0,18.0,20.0,8.0,10.0,7.0,8.0,15.0,€1.8M,0,No Speciality
6190,J. Igbekeme,22,Nigeria,69,76,Real Zaragoza,€1.5M,€5K,Left,1.0,2.0,3.0,Medium/ Medium,LCM,12.0,"Jul 2, 2018",Not on loan,2022,5'7,146lbs,67.0,55.0,49.0,74.0,59.0,67.0,53.0,70.0,68.0,70.0,75.0,71.0,75.0,63.0,87.0,65.0,62.0,75.0,79.0,59.0,65.0,67.0,63.0,65.0,64.0,66.0,66.0,65.0,54.0,14.0,6.0,10.0,14.0,13.0,€2.6M,0,No Speciality
6191,D. Álvarez,36,Colombia,69,69,Patriotas Boyacá FC,€375K,€1K,Right,1.0,3.0,3.0,Medium/ Medium,ST,17.0,"Jan 17, 2018",Not on loan,2021,5'8,154lbs,47.0,68.0,73.0,61.0,50.0,67.0,53.0,59.0,54.0,70.0,64.0,61.0,69.0,68.0,75.0,68.0,72.0,30.0,77.0,64.0,65.0,38.0,72.0,65.0,70.0,75.0,25.0,17.0,20.0,12.0,14.0,8.0,6.0,9.0,€506K,0,No Speciality
6192,S. Neumann,27,Germany,69,71,MSV Duisburg,€1M,€4K,Left,1.0,3.0,2.0,Medium/ Medium,CB,29.0,"Jul 1, 2018",Not on loan,2020,6'2,176lbs,38.0,20.0,66.0,56.0,21.0,44.0,32.0,31.0,40.0,57.0,50.0,54.0,39.0,66.0,52.0,48.0,60.0,57.0,84.0,22.0,70.0,69.0,22.0,45.0,40.0,67.0,67.0,69.0,68.0,7.0,12.0,8.0,9.0,7.0,€1.7M,0,No Speciality
6193,Diego Barcelos,33,Brazil,69,69,CD Nacional,€650K,€6K,Right,1.0,4.0,4.0,High/ Low,CAM,10.0,"Jul 1, 2017",Not on loan,2020,5'7,154lbs,61.0,60.0,56.0,70.0,70.0,74.0,68.0,66.0,62.0,73.0,67.0,63.0,76.0,66.0,78.0,71.0,76.0,43.0,44.0,70.0,61.0,41.0,63.0,67.0,71.0,70.0,25.0,32.0,27.0,7.0,8.0,15.0,16.0,13.0,€1.4M,0,No Speciality
6194,M. Wallace,25,Scotland,69,72,Millwall,€1.1M,€6K,Left,1.0,2.0,2.0,Medium/ Medium,CB,25.0,"Jun 20, 2018",Not on loan,2021,6'2,165lbs,25.0,21.0,70.0,59.0,21.0,48.0,26.0,24.0,56.0,58.0,49.0,59.0,50.0,62.0,56.0,43.0,72.0,78.0,82.0,20.0,65.0,65.0,42.0,40.0,34.0,59.0,67.0,70.0,65.0,1.0,1.0,1.0,1.0,1.0,€2.2M,EFL CHAMPIONSHIP,No Speciality
6195,D. Bottinelli,31,Argentina,69,69,Audax Italiano,€925K,€1K,Right,1.0,3.0,3.0,High/ Low,LCM,18.0,N/A,América de Cali,"Dec 31, 2018",5'6,148lbs,68.0,60.0,39.0,72.0,55.0,67.0,75.0,78.0,70.0,69.0,54.0,57.0,80.0,56.0,81.0,68.0,58.0,74.0,67.0,67.0,54.0,58.0,65.0,80.0,76.0,72.0,41.0,30.0,22.0,15.0,12.0,14.0,14.0,6.0,No Release Clause,CAMP. SCOTIABANK,No Speciality
6196,C. McLaughlin,26,Northern Ireland,69,70,Millwall,€1M,€7K,Right,1.0,3.0,3.0,High/ Medium,RB,2.0,"Jul 5, 2017",Not on loan,2019,6'0,157lbs,71.0,43.0,62.0,66.0,35.0,64.0,61.0,44.0,60.0,66.0,74.0,67.0,71.0,63.0,63.0,62.0,87.0,81.0,67.0,43.0,65.0,65.0,60.0,61.0,49.0,65.0,67.0,72.0,66.0,9.0,13.0,8.0,8.0,6.0,€2M,EFL CHAMPIONSHIP,No Speciality
6197,C. Gamboa,28,Costa Rica,69,69,Celtic,€825K,€22K,Right,1.0,2.0,3.0,High/ Medium,RB,12.0,"Aug 30, 2016",Not on loan,2019,5'9,165lbs,69.0,32.0,52.0,66.0,58.0,69.0,66.0,54.0,64.0,68.0,89.0,88.0,81.0,68.0,87.0,71.0,88.0,77.0,68.0,52.0,70.0,62.0,63.0,62.0,54.0,64.0,62.0,63.0,65.0,12.0,10.0,13.0,7.0,14.0,€1.5M,SCOTTISH PREMIERSHIP,No Speciality
6198,J. Vanlerberghe,22,Belgium,69,76,KV Oostende,€1.3M,€8K,Right,1.0,3.0,3.0,Medium/ Medium,CDM,17.0,N/A,Club Brugge KV,"Jun 30, 2019",6'3,187lbs,62.0,52.0,65.0,71.0,57.0,64.0,61.0,58.0,69.0,69.0,68.0,78.0,59.0,64.0,58.0,75.0,65.0,74.0,76.0,61.0,64.0,66.0,54.0,65.0,54.0,71.0,68.0,68.0,68.0,15.0,14.0,10.0,13.0,11.0,No Release Clause,PRO LEAGUE,No Speciality
6199,M. Osuna,29,Mexico,69,69,Monarcas Morelia,€825K,€5K,Right,1.0,3.0,3.0,Low/ High,CDM,8.0,"Jan 1, 2018",Not on loan,2018,5'10,168lbs,62.0,52.0,63.0,70.0,56.0,65.0,63.0,58.0,64.0,68.0,63.0,67.0,64.0,66.0,59.0,76.0,81.0,75.0,70.0,70.0,60.0,69.0,41.0,58.0,71.0,56.0,65.0,73.0,63.0,14.0,6.0,10.0,15.0,12.0,€1.4M,LIGA BANCOMER MX,No Speciality
6200,K. Miller,38,Scotland,69,69,Dundee FC,€375K,€3K,Right,2.0,4.0,3.0,High/ High,ST,20.0,"Aug 29, 2018",Not on loan,2020,5'10,157lbs,64.0,68.0,70.0,66.0,71.0,65.0,64.0,52.0,59.0,65.0,66.0,65.0,70.0,67.0,67.0,71.0,80.0,82.0,69.0,70.0,72.0,44.0,68.0,65.0,62.0,82.0,47.0,23.0,22.0,6.0,15.0,14.0,8.0,10.0,€656K,SCOTTISH PREMIERSHIP,No Speciality
6201,M. Ciani,34,France,69,69,LA Galaxy,€325K,€4K,Right,2.0,3.0,2.0,Medium/ Medium,CB,28.0,"Sep 2, 2017",Not on loan,2021,6'4,194lbs,30.0,26.0,72.0,55.0,16.0,38.0,19.0,55.0,61.0,46.0,33.0,35.0,31.0,54.0,32.0,79.0,63.0,58.0,92.0,44.0,80.0,71.0,33.0,24.0,25.0,54.0,60.0,69.0,63.0,15.0,6.0,9.0,7.0,15.0,€488K,MLS,Strength
6202,L. Vásquez,26,Colombia,69,71,América de Cali,€1.1M,€1K,Right,1.0,3.0,2.0,Medium/ High,RDM,5.0,"Jul 4, 2018",Not on loan,2018,6'1,176lbs,37.0,52.0,57.0,69.0,38.0,53.0,32.0,32.0,71.0,68.0,39.0,34.0,40.0,72.0,54.0,51.0,66.0,63.0,80.0,64.0,74.0,67.0,56.0,65.0,37.0,54.0,66.0,65.0,57.0,9.0,6.0,9.0,15.0,15.0,€1.5M,LIGA DIMAYOR,No Speciality
6203,G. Troupée,20,Netherlands,69,77,ADO Den Haag,€1.3M,€6K,Right,1.0,3.0,3.0,High/ High,RB,3.0,N/A,FC Utrecht,"Jun 30, 2019",5'11,143lbs,66.0,44.0,60.0,68.0,43.0,70.0,51.0,49.0,65.0,64.0,77.0,77.0,75.0,68.0,74.0,62.0,74.0,83.0,66.0,46.0,71.0,66.0,57.0,50.0,41.0,66.0,68.0,64.0,63.0,14.0,11.0,13.0,12.0,9.0,No Release Clause,EREDIVISIE,No Speciality
6204,A. Erdem,29,Turkey,69,69,Medipol Başakşehir FK,€800K,€11K,Left,1.0,2.0,3.0,Medium/ Low,LB,39.0,"Aug 6, 2013",Not on loan,2020,5'9,146lbs,68.0,34.0,53.0,72.0,46.0,70.0,51.0,36.0,66.0,70.0,76.0,67.0,75.0,67.0,73.0,47.0,72.0,64.0,50.0,41.0,58.0,64.0,59.0,57.0,44.0,63.0,68.0,70.0,70.0,8.0,7.0,14.0,11.0,12.0,€1.5M,SÜPER LIG,No Speciality
6205,D. De fauw,36,Belgium,69,69,SV Zulte-Waregem,€120K,€5K,Right,1.0,4.0,2.0,High/ High,RB,2.0,"Jul 1, 2016",Not on loan,2019,6'1,152lbs,76.0,39.0,78.0,70.0,29.0,59.0,64.0,70.0,71.0,68.0,42.0,43.0,60.0,66.0,62.0,72.0,46.0,77.0,62.0,68.0,68.0,75.0,58.0,68.0,78.0,80.0,78.0,68.0,67.0,8.0,11.0,14.0,15.0,15.0,€180K,0,No Speciality
6206,D. Cavaré,23,France,69,75,Barnsley,€1.2M,€5K,Right,1.0,2.0,3.0,Medium/ Medium,RB,12.0,"Aug 17, 2017",Not on loan,2019,6'0,185lbs,66.0,32.0,67.0,66.0,30.0,65.0,32.0,31.0,59.0,66.0,64.0,64.0,60.0,66.0,42.0,66.0,60.0,67.0,88.0,39.0,81.0,71.0,39.0,47.0,37.0,63.0,67.0,73.0,70.0,15.0,9.0,8.0,9.0,9.0,€2.4M,EFL LEAGUE ONE,Strength
6207,F. Maouassa,19,France,69,78,Nîmes Olympique,€1.3M,€6K,Left,1.0,2.0,3.0,High/ Medium,LB,12.0,N/A,Stade Rennais FC,"Jun 30, 2019",5'7,161lbs,74.0,57.0,52.0,69.0,48.0,74.0,79.0,58.0,53.0,73.0,79.0,79.0,77.0,62.0,79.0,80.0,63.0,64.0,68.0,66.0,66.0,62.0,67.0,61.0,42.0,61.0,59.0,71.0,68.0,14.0,8.0,5.0,6.0,9.0,No Release Clause,LIGUE 1 CONFORAMA,No Speciality
6208,N. Dovedan,23,Austria,69,74,1. FC Heidenheim 1846,€1.4M,€7K,Right,1.0,4.0,3.0,Medium/ Medium,CAM,10.0,"Jul 1, 2017",Not on loan,2021,5'7,157lbs,62.0,70.0,58.0,68.0,58.0,74.0,59.0,65.0,62.0,72.0,79.0,74.0,88.0,66.0,90.0,66.0,60.0,67.0,52.0,63.0,50.0,25.0,71.0,58.0,53.0,60.0,25.0,28.0,27.0,15.0,13.0,14.0,9.0,13.0,€2.3M,0,No Speciality
6209,V. Hedenstad,27,Norway,69,70,Rosenborg BK,€975K,€4K,Right,1.0,3.0,3.0,High/ Medium,RB,2.0,"Feb 9, 2017",Not on loan,2020,5'10,163lbs,68.0,46.0,52.0,67.0,46.0,68.0,69.0,71.0,57.0,69.0,78.0,74.0,79.0,69.0,75.0,75.0,57.0,83.0,59.0,53.0,67.0,59.0,58.0,58.0,45.0,65.0,63.0,69.0,67.0,12.0,16.0,7.0,7.0,7.0,€1.3M,ELITESERIEN,No Speciality
6210,J. O'Shea,37,Republic of Ireland,69,69,Reading,€140K,€10K,Right,2.0,3.0,2.0,Medium/ Medium,CB,4.0,"Jul 1, 2018",Not on loan,2019,6'3,185lbs,53.0,29.0,72.0,60.0,32.0,46.0,51.0,35.0,57.0,60.0,29.0,32.0,49.0,63.0,54.0,49.0,57.0,30.0,77.0,23.0,64.0,71.0,32.0,55.0,47.0,69.0,72.0,70.0,68.0,9.0,14.0,13.0,10.0,14.0,€266K,EFL CHAMPIONSHIP,No Speciality
6211,Y. Wildschut,26,Netherlands,69,69,Bolton Wanderers,€1.1M,€13K,Right,1.0,2.0,3.0,Medium/ Medium,LM,30.0,N/A,Norwich City,"Jun 30, 2019",6'2,190lbs,63.0,66.0,53.0,68.0,59.0,77.0,67.0,61.0,65.0,70.0,77.0,84.0,71.0,59.0,66.0,81.0,53.0,66.0,79.0,63.0,70.0,52.0,63.0,55.0,60.0,67.0,45.0,54.0,47.0,9.0,13.0,11.0,14.0,14.0,No Release Clause,0,No Speciality
6212,P. Dawidowicz,23,Poland,69,80,Hellas Verona,€1.6M,€4K,Right,1.0,4.0,2.0,High/ High,CB,27.0,N/A,SL Benfica,"Jun 30, 2019",6'3,187lbs,44.0,36.0,66.0,69.0,38.0,60.0,53.0,52.0,67.0,57.0,62.0,70.0,69.0,66.0,62.0,74.0,65.0,74.0,78.0,45.0,78.0,72.0,46.0,66.0,44.0,62.0,67.0,66.0,60.0,7.0,11.0,8.0,11.0,13.0,No Release Clause,CALCIO B,No Speciality
6213,P. Bartolomei,28,Italy,69,69,Spezia,€1M,€3K,Right,1.0,4.0,3.0,Medium/ Medium,RCM,16.0,"Jul 13, 2018",Not on loan,2020,6'0,168lbs,66.0,59.0,59.0,74.0,66.0,70.0,63.0,71.0,70.0,71.0,78.0,74.0,68.0,67.0,61.0,76.0,52.0,78.0,67.0,73.0,66.0,61.0,58.0,63.0,48.0,64.0,59.0,59.0,57.0,10.0,14.0,12.0,10.0,12.0,€1.6M,0,No Speciality
6214,Rômulão Selva,26,Brazil,69,69,Botafogo,€1.2M,€11K,Right,1.0,5.0,4.0,Medium/ Low,LS,9.0,"Jan 1, 2018",Not on loan,2021,5'10,159lbs,60.0,50.0,51.0,68.0,71.0,75.0,54.0,56.0,51.0,76.0,82.0,81.0,70.0,76.0,67.0,72.0,55.0,60.0,71.0,67.0,51.0,24.0,77.0,55.0,67.0,72.0,26.0,14.0,13.0,12.0,8.0,11.0,7.0,12.0,€2.2M,LIGA DO BRASIL,No Speciality
6215,K. Higashi,27,Japan,69,69,FC Tokyo,€1.1M,€6K,Right,1.0,4.0,3.0,High/ Medium,RM,38.0,"Jan 1, 2013",Not on loan,2018,5'10,159lbs,66.0,65.0,60.0,68.0,60.0,65.0,57.0,61.0,65.0,66.0,73.0,66.0,63.0,74.0,63.0,65.0,66.0,83.0,69.0,64.0,68.0,60.0,71.0,66.0,61.0,64.0,53.0,41.0,42.0,10.0,8.0,14.0,6.0,9.0,€1.4M,0,No Speciality
6216,L. Mora,30,Italy,69,69,Spezia,€975K,€3K,Left,1.0,3.0,3.0,Medium/ Medium,CM,6.0,"Jan 24, 2018",Not on loan,2020,6'0,176lbs,70.0,55.0,60.0,72.0,71.0,64.0,59.0,64.0,69.0,72.0,60.0,65.0,60.0,68.0,74.0,65.0,41.0,75.0,68.0,66.0,61.0,51.0,68.0,70.0,61.0,65.0,52.0,63.0,58.0,11.0,13.0,13.0,12.0,14.0,€1.5M,0,No Speciality
6217,J. Abrigo,23,Chile,69,77,Tiburones Rojos de Veracruz,€1.5M,€4K,Right,1.0,3.0,3.0,Medium/ Low,CAM,10.0,"Jul 12, 2018",Not on loan,2019,5'7,146lbs,50.0,56.0,44.0,71.0,36.0,70.0,71.0,68.0,64.0,71.0,78.0,76.0,70.0,64.0,83.0,63.0,60.0,45.0,52.0,59.0,45.0,22.0,67.0,67.0,49.0,63.0,41.0,44.0,45.0,11.0,7.0,13.0,7.0,7.0,€2.9M,0,No Speciality
6218,M. Diskerud,27,United States,69,69,Ulsan Hyundai FC,€1.1M,€43K,Right,1.0,4.0,3.0,Medium/ Medium,CM,42.0,N/A,Manchester City,"Jun 30, 2019",6'0,150lbs,67.0,67.0,59.0,74.0,59.0,67.0,72.0,59.0,70.0,70.0,69.0,67.0,70.0,64.0,62.0,69.0,72.0,80.0,70.0,59.0,57.0,61.0,67.0,67.0,59.0,67.0,55.0,56.0,52.0,6.0,6.0,16.0,16.0,16.0,No Release Clause,0,No Speciality
6219,E. Torregrossa,26,Italy,69,71,Brescia,€1.3M,€3K,Left,1.0,3.0,3.0,Medium/ Low,RS,11.0,"Jul 17, 2014",Not on loan,2019,6'0,176lbs,44.0,71.0,66.0,58.0,60.0,64.0,41.0,40.0,41.0,67.0,69.0,69.0,66.0,67.0,62.0,65.0,87.0,80.0,92.0,60.0,38.0,25.0,68.0,55.0,66.0,65.0,23.0,12.0,12.0,10.0,9.0,5.0,13.0,8.0,€2.1M,CALCIO B,No Speciality
6220,C. Cadden,21,Scotland,69,77,Motherwell,€1.6M,€3K,Right,1.0,3.0,3.0,High/ High,RM,7.0,"Jan 1, 2013",Not on loan,2019,6'0,168lbs,71.0,48.0,58.0,67.0,43.0,70.0,51.0,55.0,63.0,67.0,78.0,76.0,79.0,57.0,70.0,70.0,59.0,86.0,74.0,55.0,62.0,44.0,60.0,70.0,46.0,64.0,51.0,53.0,48.0,13.0,13.0,12.0,8.0,10.0,€3M,SCOTTISH PREMIERSHIP,No Speciality
6221,D. Dąbrowski,25,Poland,69,73,Cracovia,€1.1M,€3K,Right,1.0,3.0,2.0,Medium/ Medium,RCM,14.0,"Jul 1, 2013",Not on loan,2019,5'10,161lbs,59.0,49.0,58.0,70.0,51.0,62.0,53.0,55.0,68.0,69.0,76.0,63.0,72.0,71.0,70.0,70.0,85.0,62.0,61.0,62.0,65.0,74.0,61.0,67.0,51.0,70.0,54.0,71.0,65.0,6.0,6.0,6.0,16.0,9.0,€1.6M,EKSTRAKLASA,No Speciality
6222,Fernández,28,Spain,69,69,Córdoba CF,€825K,€5K,Right,1.0,2.0,2.0,Low/ High,RB,17.0,"Jul 2, 2017",Not on loan,2021,5'7,143lbs,64.0,35.0,51.0,60.0,25.0,59.0,59.0,37.0,54.0,61.0,90.0,92.0,89.0,62.0,77.0,60.0,80.0,92.0,44.0,31.0,72.0,68.0,55.0,43.0,47.0,65.0,60.0,60.0,64.0,13.0,13.0,8.0,12.0,12.0,€1.3M,LALIGA 1 | 2 | 3,No Speciality
6223,Z. Yavru,26,Turkey,69,70,Trabzonspor,€1M,€13K,Right,1.0,2.0,3.0,High/ Medium,RB,91.0,"Aug 20, 2018",Not on loan,2019,5'10,172lbs,64.0,40.0,60.0,62.0,58.0,65.0,65.0,38.0,60.0,65.0,79.0,81.0,71.0,65.0,77.0,70.0,64.0,79.0,68.0,60.0,62.0,64.0,60.0,44.0,43.0,58.0,65.0,70.0,63.0,8.0,11.0,13.0,7.0,9.0,€2.1M,SÜPER LIG,No Speciality
6224,L. Wallace,30,Scotland,69,69,Rangers FC,€750K,€21K,Left,1.0,2.0,3.0,High/ High,LB,5.0,"Jul 1, 2011",Not on loan,2019,6'1,165lbs,63.0,50.0,61.0,65.0,37.0,64.0,55.0,33.0,57.0,68.0,74.0,78.0,74.0,64.0,65.0,58.0,81.0,80.0,78.0,47.0,62.0,67.0,59.0,55.0,58.0,69.0,60.0,70.0,69.0,14.0,6.0,8.0,11.0,9.0,€1.4M,0,No Speciality
6225,J. Niezgoda,23,Poland,69,75,Legia Warszawa,€1.5M,€5K,Right,1.0,4.0,3.0,Medium/ Medium,ST,11.0,"Jan 8, 2016",Not on loan,2022,6'1,161lbs,28.0,71.0,67.0,58.0,45.0,64.0,34.0,33.0,42.0,66.0,79.0,80.0,77.0,66.0,65.0,68.0,76.0,72.0,74.0,65.0,41.0,21.0,70.0,58.0,68.0,69.0,37.0,41.0,35.0,11.0,6.0,7.0,7.0,11.0,€2.3M,EKSTRAKLASA,No Speciality
6226,L. Abubakar,23,Ghana,69,75,Columbus Crew SC,€1.2M,€3K,Right,1.0,2.0,2.0,Medium/ High,CB,17.0,"Jan 16, 2017",Not on loan,2019,6'0,181lbs,34.0,31.0,63.0,71.0,28.0,41.0,33.0,26.0,64.0,50.0,55.0,68.0,55.0,58.0,51.0,37.0,79.0,68.0,83.0,29.0,76.0,71.0,24.0,39.0,38.0,49.0,64.0,69.0,64.0,11.0,6.0,15.0,15.0,12.0,€2.1M,MLS,No Speciality
6227,C. Leitgeb,33,Austria,69,69,FC Red Bull Salzburg,€625K,€16K,Right,1.0,4.0,3.0,Medium/ Medium,CM,24.0,"Jul 1, 2007",Not on loan,2019,5'8,152lbs,62.0,47.0,39.0,71.0,60.0,74.0,72.0,67.0,70.0,74.0,69.0,59.0,76.0,60.0,77.0,65.0,70.0,61.0,45.0,59.0,58.0,69.0,60.0,74.0,64.0,74.0,65.0,60.0,55.0,1.0,1.0,1.0,1.0,1.0,€938K,Ö. BUNDESLIGA,No Speciality
6228,E. Pisano,31,Italy,69,69,Bristol City,€700K,€18K,Right,1.0,3.0,3.0,High/ Medium,RB,2.0,"Jul 1, 2017",Not on loan,2019,6'1,183lbs,68.0,27.0,73.0,65.0,47.0,65.0,63.0,40.0,61.0,64.0,66.0,69.0,71.0,69.0,62.0,66.0,75.0,68.0,79.0,50.0,71.0,69.0,59.0,39.0,55.0,69.0,70.0,68.0,71.0,12.0,7.0,15.0,7.0,13.0,€1.3M,EFL CHAMPIONSHIP,No Speciality
6229,F. N'Sakala,27,DR Congo,69,69,Alanyaspor,€875K,€7K,Left,1.0,2.0,3.0,High/ Medium,LB,21.0,"Jul 4, 2017",Not on loan,2020,5'10,163lbs,71.0,37.0,59.0,67.0,41.0,74.0,55.0,50.0,65.0,74.0,83.0,85.0,78.0,64.0,78.0,45.0,85.0,83.0,67.0,58.0,70.0,67.0,67.0,68.0,55.0,66.0,58.0,62.0,55.0,16.0,12.0,8.0,6.0,13.0,€1.8M,SÜPER LIG,No Speciality
6230,L. Thomas,26,Australia,69,70,Melbourne Victory,€850K,€4K,Right,1.0,2.0,1.0,Medium/ Medium,GK,20.0,"Sep 1, 2011",Not on loan,2020,6'3,201lbs,14.0,14.0,12.0,38.0,20.0,18.0,19.0,15.0,34.0,14.0,32.0,42.0,61.0,72.0,34.0,25.0,65.0,32.0,52.0,13.0,32.0,12.0,14.0,49.0,15.0,46.0,16.0,20.0,18.0,69.0,65.0,64.0,66.0,70.0,€1.1M,HYUNDAI A-LEAGUE,Goalkeeper
6231,Igor Rossi,29,Brazil,69,69,Al Faisaly,€825K,€11K,Left,1.0,2.0,2.0,Medium/ Medium,LCB,3.0,"Jan 14, 2017",Not on loan,2020,6'2,181lbs,44.0,25.0,74.0,63.0,27.0,51.0,43.0,32.0,60.0,60.0,49.0,49.0,33.0,65.0,43.0,43.0,68.0,70.0,83.0,26.0,65.0,64.0,34.0,51.0,46.0,61.0,66.0,68.0,65.0,16.0,13.0,15.0,15.0,9.0,€1.4M,SAUDI PROFESSIONAL LEAGUE,No Speciality
6232,A. Sadiku,27,Albania,69,70,Levante UD,€1.2M,€12K,Right,1.0,2.0,3.0,Medium/ Low,ST,30.0,"Jan 31, 2018",Not on loan,2020,6'1,176lbs,39.0,68.0,65.0,63.0,51.0,67.0,54.0,31.0,41.0,72.0,66.0,72.0,60.0,66.0,55.0,73.0,65.0,53.0,77.0,64.0,58.0,39.0,70.0,46.0,63.0,63.0,36.0,37.0,24.0,9.0,15.0,9.0,11.0,7.0,€2.7M,LALIGA SANTANDER,No Speciality
6233,K. Bistrović,20,Croatia,69,82,PFC CSKA Moscow,€1.8M,€1K,Right,1.0,3.0,3.0,Medium/ Medium,CDM,25.0,"Jan 12, 2018",Not on loan,2022,6'0,165lbs,43.0,55.0,62.0,74.0,64.0,64.0,47.0,47.0,69.0,66.0,64.0,69.0,54.0,68.0,61.0,66.0,57.0,67.0,59.0,53.0,65.0,63.0,40.0,73.0,49.0,60.0,70.0,72.0,71.0,10.0,7.0,6.0,7.0,10.0,€5.1M,REST OF WORLD,No Speciality
6234,V. Elm,32,Sweden,69,69,Kalmar FF,€600K,€2K,Left,1.0,3.0,2.0,Medium/ Medium,RCB,23.0,"Mar 31, 2015",Not on loan,2020,6'3,185lbs,48.0,56.0,72.0,65.0,58.0,57.0,45.0,65.0,67.0,68.0,30.0,36.0,44.0,72.0,34.0,72.0,80.0,67.0,81.0,65.0,68.0,70.0,50.0,66.0,64.0,70.0,67.0,64.0,59.0,12.0,9.0,12.0,13.0,10.0,€750K,ALLSVENSKAN,No Speciality
6235,Carlos Ruiz,34,Spain,69,69,CD Tenerife,€325K,€5K,Right,1.0,3.0,2.0,Medium/ High,CB,14.0,"Jun 28, 2013",Not on loan,2019,6'0,176lbs,45.0,46.0,73.0,66.0,49.0,50.0,48.0,47.0,65.0,63.0,62.0,65.0,65.0,65.0,73.0,67.0,81.0,77.0,78.0,57.0,72.0,64.0,50.0,52.0,53.0,66.0,68.0,67.0,61.0,15.0,7.0,13.0,7.0,7.0,€520K,LALIGA 1 | 2 | 3,No Speciality
